seed_label,direction,f_ras,C,A,T,R,L,M
slightly_more_benign,up,0.04081632653061224,0.006637054846216365,0.020881549079056608,0.013662560743443002,0.0003008837485562594,0.03132232362686917,5.299956869927832e-16
slightly_more_benign,up,0.061224489795918366,0.00995246694897699,0.0309955578884951,0.02028961875406171,0.0008078158657948606,0.04649333684144852,6.696512823082162e-14
slightly_more_benign,up,0.08163265306122448,0.013282615806824261,0.04091719141906746,0.026798021090105865,0.0016168882828955125,0.06137578713994413,2.007972136328973e-12
slightly_more_benign,up,0.1020408163265306,0.016639373877493733,0.05066325184665584,0.03319938215304506,0.0027558436615530584,0.07599487777266975,2.7417257191001807e-11
slightly_more_benign,up,0.12244897959183673,0.02003387823454566,0.06024873468548741,0.039504118947628564,0.004243597328562893,0.09037310203394616,2.2782145259181447e-10
slightly_more_benign,up,0.14285714285714285,0.023476544019303557,0.06968698057263464,0.04572154708478121,0.006092669911698713,0.10453047086651363,1.344512406061895e-09
slightly_more_benign,up,0.16326530612244897,0.026977104001334,0.07898983706690361,0.051859985517490735,0.008310587370726442,0.11848475560996524,6.178990853908e-09
slightly_more_benign,up,0.18367346938775508,0.030544654982956516,0.08816781186997236,0.0579268565730931,0.010900759995590084,0.1322517178170223,2.3463413824192524e-08
slightly_more_benign,up,0.2040816326530612,0.03418770745003708,0.09723021519740516,0.06392877952325522,0.013863073603974015,0.14584532281282106,7.66513729117385e-08
slightly_more_benign,up,0.22448979591836732,0.0379142438314811,0.10618529695287678,0.06987166172906058,0.01719431735335724,0.15927794545438048,2.2170717862925024e-07
slightly_more_benign,up,0.24489795918367346,0.04173179774639168,0.11504038929858694,0.07576079514862846,0.020888524707773713,0.17256058396396684,5.799095420880098e-07
slightly_more_benign,up,0.26530612244897955,0.04564757321657038,0.12380206887348709,0.08160096890646605,0.024937282372323864,0.18570310340040788,1.3938816262690335e-06
slightly_more_benign,up,0.2857142857142857,0.049668629342999364,0.13247635571900462,0.08739661099099436,0.02933005213244613,0.19871453358961788,3.117340960457656e-06
slightly_more_benign,up,0.3061224489795918,0.05380216231223006,0.14106896795265123,0.09315197400075184,0.0340545478427034,0.21160345193082966,6.551274357702477e-06
slightly_more_benign,up,0.32653061224489793,0.05805592267986329,0.14958565233070387,0.0988713811051753,0.03909720643323026,0.22437847855431106,1.3041361513899302e-05
slightly_more_benign,up,0.3469387755102041,0.06243881220092948,0.1580326115990931,0.10455954947570474,0.04444379259938187,0.23704891749615767,2.4753821843928664e-05
slightly_more_benign,up,0.36734693877551017,0.06696171266458238,0.16641705106093513,0.11022201017180015,0.05008017449508587,0.24962557660493662,4.5050369600083277e-05
slightly_more_benign,up,0.3877551020408163,0.07163861316536606,0.17474787165590308,0.11586564784634784,0.05599330921549795,0.26212180750065256,7.898957556658524e-05
slightly_more_benign,up,0.4081632653061224,0.07648812910887066,0.18303654912811695,0.12149939378677178,0.062172483404947444,0.27455482369555906,0.0001339951481505619
slightly_more_benign,up,0.42857142857142855,0.08153555990763392,0.19129826638244485,0.12713512820011186,0.06861087939369045,0.2869473994519378,0.00022075773736690202
slightly_more_benign,up,0.44897959183673464,0.0868157363830319,0.19955342071000962,0.13278889153921675,0.07530758980922495,0.2993301310389,0.0003544871043882077
slightly_more_benign,up,0.4693877551020408,0.09237711081093297,0.2078297332585752,0.13848258972410518,0.08227031592828941,0.3117446002110534,0.0005567282084493465
slightly_more_benign,up,0.4897959183673469,0.09828794537610962,0.2161653977115621,0.14424654738644446,0.08951921845312028,0.3242480969251947,0.0008581465928901359
slightly_more_benign,up,0.5102040816326531,0.10464629880310417,0.2246141402314974,0.15012361504080968,0.0970928760436988,0.33692121032846156,0.001303091047474919
slightly_more_benign,up,0.5306122448979591,0.11159742523638,0.2332540440209666,0.1561763302984129,0.10505840352275912,0.34988106601800306,0.001957659516997819
slightly_more_benign,up,0.5510204081632653,0.11936705404887941,0.24220447705666756,0.16250064534059494,0.11353055743439314,0.3633067154699783,0.0029253358335293964
slightly_more_benign,up,0.5714285714285714,0.12833333178648515,0.25166279088536475,0.16925566873690212,0.12271283172066481,0.37749418654870587,0.004381210588997559
slightly_more_benign,up,0.5918367346938775,0.13921244891238285,0.26199920761479123,0.17674052748419936,0.1330032997650507,0.3929988129825598,0.006661342643398119
slightly_more_benign,up,0.6122448979591836,0.15370501089223898,0.2740876822905247,0.18566229297529463,0.1453628409728408,0.4111315248212243,0.010577864706448887
slightly_more_benign,up,0.6326530612244897,0.1792677967035279,0.2917505643689772,0.19911506871615728,0.1640288070318292,0.43762498552664675,0.019783610514300255
slightly_more_benign,up,0.6530612244897959,0.5392053843915209,0.44519210050742175,0.3290896688836674,0.31580616362041186,0.6677881522459853,0.36413055071585215
slightly_more_benign,up,0.673469387755102,0.5455776068556198,0.4494427580004634,0.3323481360785292,0.3186624117093607,0.6741641368010615,0.37373842337842844
slightly_more_benign,up,0.6938775510204082,0.5512930360670288,0.4534198702409206,0.3353734565535373,0.3212723493206322,0.6801298054491968,0.3824328099151006
slightly_more_benign,up,0.7142857142857142,0.5564802089082023,0.45717419854989094,0.33820952742583965,0.3236826783136341,0.6857612978977721,0.3903790902556213
slightly_more_benign,up,0.7346938775510203,0.5612319471059223,0.46074247201669577,0.3408880940135015,0.32592714177005083,0.6911137080474796,0.39769818073205343
slightly_more_benign,up,0.7551020408163265,0.5656177608535972,0.46415225561706314,0.3434329665351869,0.3280310301244628,0.6962283834750075,0.40448174213686017
slightly_more_benign,up,0.7755102040816326,0.5696912279623346,0.4674248470292615,0.3458625293822663,0.3300138600542385,0.7011372705204011,0.4108012815309787
slightly_more_benign,up,0.7959183673469387,0.5734946278438954,0.4705770963224362,0.3481913173372342,0.3318910556832478,0.705865644460323,0.41671390138499825
slightly_more_benign,up,0.8163265306122448,0.5770619791555122,0.4736225993049362,0.35043104898183036,0.33367504968755146,0.7104338989252506,0.4222660882283541
slightly_more_benign,up,0.836734693877551,0.5804211072961193,0.4765725100070958,0.35259133032751616,0.3353760324504478,0.7148587649383533,0.4274963066911876
slightly_more_benign,up,0.8571428571428571,0.5835950935294723,0.4794361104099928,0.3546801481304461,0.33700247684531026,0.7191541655944526,0.43243682770833913
slightly_more_benign,up,0.8775510204081632,0.586603316867731,0.4822212202802605,0.35670422464938334,0.33856151527668116,0.7233318304064024,0.43711504985523303
slightly_more_benign,up,0.8979591836734693,0.5894622216508553,0.484934499194149,0.3586692791540701,0.3400592174939389,0.7274017487992479,0.4415544790761303
slightly_more_benign,up,0.9183673469387754,0.5921858922837547,0.48758167283986975,0.36058022374910165,0.34150079840545416,0.731372509237556,0.44577546572840604
slightly_more_benign,up,0.9387755102040816,0.5947864924485735,0.49016770600816534,0.3624413131172978,0.34289077694365033,0.7352515589951897,0.4497957715368014
slightly_more_benign,up,0.9591836734693877,0.5972746047683841,0.4926969364734174,0.3642562603361644,0.3442330988155176,0.7390454047788164,0.45363101015148194
slightly_more_benign,up,0.9795918367346939,0.5996594978031526,0.4951731802709214,0.3660283279698074,0.3455312330178066,0.7427597707602572,0.45729499567690357
slightly_more_benign,up,1.0,0.6019493373753592,0.4975998151235632,0.3677604001508899,0.346788248097569,0.7463997229034586,0.4608000194227112
slightly_more_benign,down,1.0,0.6019493371795314,0.4975998150592695,0.36776040007159405,0.3467882479938555,0.7463997225963961,0.4608000190023002
slightly_more_benign,down,0.9795918367346939,0.5996594971378603,0.4951731800510078,0.3660283277024047,0.3455312326715763,0.7427597697476196,0.45729499426296566
slightly_more_benign,down,0.9591836734693877,0.5972746047005267,0.49269693645086887,0.36425626030878394,0.3442330987800199,0.7390454046798114,0.4536310100088744
slightly_more_benign,down,0.9387755102040817,0.5947864923943716,0.4901677059900419,0.36244131309549804,0.3428907769155448,0.7352515589188615,0.44979577142413585
